id,name,active,notes
236582008,Acute-on-chronic rejection of renal transplant (disorder),y,direct mapping
847881000000107,Stenosis of vein of transplanted kidney (disorder),y,direct mapping
44165003,Complication of transplanted lung (disorder),y,direct mapping
174426002,Heterotopic liver transplant (procedure),y,direct mapping
236588007,Transplant glomerulopathy - early form (disorder),y,direct mapping
174693008,Transplantation of tail of pancreas (procedure),y,direct mapping
236576005,Acute rejection of renal transplant - grade II (disorder),y,direct mapping
175902000,Cadaveric renal transplant (procedure),y,direct mapping
236570004,Renal transplant rejection (disorder),y,direct mapping
32477003,Heart-lung transplant with recipient cardiectomy-pneumonectomy (procedure),y,direct mapping
18027006,Transplantation of liver (procedure),y,direct mapping
236579003,Chronic rejection of renal transplant - grade 1 (disorder),y,direct mapping
408471009,Cardiothoracic transplantation (qualifier value),y,direct mapping
426356008,Orthotopic transplantation of whole liver (procedure),y,direct mapping
429332008,Transplantation of single lobe of lung (procedure),y,direct mapping
213151004,Heart transplant failure and rejection (disorder),y,direct mapping
183023001,Transplant immunosuppression (procedure),y,direct mapping
236573002,Very mild acute rejection of renal transplant (disorder),y,direct mapping
711413009,Allotransplantation of kidney from non-beating heart cadaver (procedure),y,direct mapping
896561000000109,Transplantation of stomach (procedure),y,direct mapping
174803001,Revision of transplantation of heart and lung (procedure),y,direct mapping
213148006,Transplanted organ rejection (disorder),y,direct mapping
426463009,Allotransplantation of ileum (procedure),y,direct mapping
174809002,Heterotopic allotransplant of heart (procedure),y,direct mapping
32413006,Transplantation of heart (procedure),y,direct mapping
429496005,Examination of live donor after kidney transplant (procedure),y,direct mapping
847791000000101,Rupture of artery of transplanted kidney (disorder),y,direct mapping
236580000,Chronic rejection of renal transplant - grade II (disorder),y,direct mapping
853021000000108,Aneurysm of artery of transplanted kidney (disorder),y,direct mapping
852981000000100,Aneurysm of vein of transplanted kidney (disorder),y,direct mapping
843691000000100,Urological complication of renal transplant (disorder),y,direct mapping
197747000,Renal tubulo-interstitial disorders in transplant rejection (disorder),y,direct mapping
236589004,Transplant glomerulopathy - late form (disorder),y,direct mapping
711446003,Transplantation of kidney regime (regime/therapy),y,direct mapping
62438007,Transplantation of pancreas (procedure),y,direct mapping
284348003,Excision of rejected transplanted kidney (procedure),y,direct mapping
429451003,Disorder related to renal transplantation (disorder),y,direct mapping
254289008,Post-transplant neoplasia (disorder),y,direct mapping
864271000000105,Thrombosis of artery of transplanted kidney (disorder),y,direct mapping
232659001,Double lung transplant as a block (procedure),y,direct mapping
236585005,De novo transplant disease (disorder),y,direct mapping
425616008,Transplantation of ileum (procedure),y,direct mapping
174802006,Allotransplant of heart and lung (procedure),y,direct mapping
174808005,Xenotransplant of heart (procedure),y,direct mapping
233844002,Accelerated coronary artery disease in transplanted heart (disorder),y,direct mapping
128531006,Islet cell transplant (procedure),y,direct mapping
254290004,Post-transplant lymphoproliferative disorder (disorder),y,direct mapping
236581001,Chronic rejection of renal transplant - grade III (disorder),y,direct mapping
174694002,Renewal of transplanted pancreatic tissue (procedure),y,direct mapping
175901007,Live donor renal transplant (procedure),y,direct mapping
277010001,Unexplained episode of renal transplant dysfunction (disorder),y,direct mapping
174692003,Whole organ pancreatic transplant (procedure),y,direct mapping
161669001,History of bone tissue recipient (situation),y,direct mapping
213152006,Heart-lung transplant failure and rejection (disorder),y,direct mapping
303408002,Entire transplanted ureter (body structure),y,direct mapping
265550007,Transplant nephrectomy (procedure),y,direct mapping
236574008,Acute rejection of renal transplant (disorder),y,direct mapping
277451006,Part organ pancreatic transplant (procedure),y,direct mapping
88039007,Transplant of lung (procedure),y,direct mapping
236586006,De novo glomerulonephritis (disorder),y,direct mapping
313030004,Donor renal transplantation (procedure),y,direct mapping
161663000,History of being a tissue or organ recipient (situation),y,direct mapping
161671001,History of liver recipient (situation),y,direct mapping
236578006,Chronic rejection of renal transplant (disorder),y,direct mapping
161666008,History of heart recipient (situation),y,direct mapping
174425003,Orthotopic liver transplant (procedure),y,direct mapping
232660006,Bilateral sequential single lung transplant (procedure),y,direct mapping
236587002,Transplant glomerulopathy (disorder),y,direct mapping
236138007,Xenograft renal transplant (procedure),y,direct mapping
236575009,Acute rejection of renal transplant - grade I (disorder),y,direct mapping
233933006,Cardiac transplant rejection (disorder),y,direct mapping
161665007,History of renal transplant (situation),y,direct mapping
236577001,Acute rejection of renal transplant - grade III (disorder),y,direct mapping
